year,ai_adoption_level
2015,0.19148088969105
2016,0.22009480928864136
2017,0.2522849088241459
2018,0.287984576446281
2019,0.32042324909747294
2020,0.35387639344262295
2021,0.39089352083333334
2022,0.4264942124933262
2023,0.4559274837219072
2024,0.4949571338648763
2025,0.5295329480983401
2026,0.5665663938671915
2027,0.5978073543559593
2028,0.6311076604125635
2029,0.6689323426387856
2030,0.7007186846827826
2031,0.737696671899529
2032,0.7688699613819017
2033,0.8020583228511531
2034,0.8336732348965373
2035,0.8578444862020831
