entity_type,name,rank,final_ai_score,avg_ai_adoption_level,avg_ai_investment_usd,avg_automation_rate,avg_cost_savings,avg_revenue_impact,avg_productivity_gain,avg_employee_ai_training_hours,avg_ai_maturity_score,avg_deployment_count,avg_total_benefit,avg_net_value,avg_roi,avg_final_ai_score,automation_rate_component_score,productivity_gain_component_score,training_hours_component_score,ai_maturity_score_component_score,deployment_count_component_score,roi_component_score,net_value_component_score
country,United States,1,94.6,0.5469,6085048.3773,0.4558,2701533.9482,3275056.7091,0.4152,92.0298,6.6044,27.5571,5976590.6572,-108457.72,0.8309,94.6,100.0,100.0,100.0,100.0,100.0,100.0,62.2
country,United Kingdom,2,80.5,0.5342,4818029.6014,0.4425,2110285.1493,2621816.2039,0.4019,83.507,6.4204,26.846,4732101.3533,-85928.2481,0.8233,80.5,77.2,77.8,81.1,82.3,81.8,88.7,74.6
country,Sweden,3,75.7,0.529,4741028.3577,0.4393,2088902.5112,2612580.2344,0.3977,76.3574,6.2756,26.4062,4701482.7456,-39545.612,0.8197,75.7,71.6,70.9,65.2,68.4,70.6,83.4,100.0
country,Singapore,4,75.6,0.5354,5226935.5078,0.4407,2291830.3666,2804310.6309,0.402,83.9457,6.4175,26.7903,5096140.9975,-130794.5104,0.8193,75.6,74.1,78.0,82.1,82.0,80.4,82.9,50.0
country,China,5,65.7,0.5293,5182406.9691,0.4376,2271082.573,2767177.0403,0.3959,76.3054,6.2821,26.453,5038259.6133,-144147.3558,0.8139,65.7,68.8,67.8,65.1,69.0,71.8,74.9,42.7
country,Canada,6,62.2,0.5305,4781970.1931,0.4392,2076579.9934,2516732.0934,0.3969,76.6363,6.2836,26.4411,4593312.0868,-188658.1063,0.8102,62.2,71.5,69.5,65.8,69.1,71.5,69.3,18.3
country,Germany,7,51.5,0.522,4709740.7595,0.4324,2038144.5538,2449625.3573,0.3909,75.3248,6.2254,26.0816,4487769.9111,-221970.8484,0.7988,51.5,59.8,59.5,62.9,63.5,62.3,52.5,0.0
country,South Korea,8,50.6,0.5168,4299823.3189,0.4266,1868957.1503,2287403.95,0.3846,68.3772,6.0914,25.6433,4156361.1002,-143462.2187,0.8057,50.6,50.0,49.0,47.5,50.6,51.1,62.7,43.0
country,France,9,46.3,0.5157,4349165.1771,0.4237,1873984.0383,2313178.4383,0.3829,68.2182,6.0785,25.5628,4187162.4766,-162002.7006,0.8002,46.3,45.1,46.2,47.2,49.4,49.0,54.5,32.9
country,Australia,10,45.8,0.5182,4264635.0787,0.4269,1847461.1034,2230040.619,0.3849,68.6307,6.0886,25.6384,4077501.7223,-187133.3564,0.7984,45.8,50.5,49.5,48.1,50.4,50.9,51.8,19.1
country,Netherlands,11,44.7,0.5166,4235845.2671,0.4266,1842425.6877,2192754.314,0.3836,68.3753,6.0884,25.6473,4035180.0017,-200665.2654,0.8004,44.7,50.0,47.3,47.5,50.3,51.2,54.8,11.7
country,Japan,12,42.0,0.5163,4309015.203,0.425,1844974.1461,2249943.5669,0.3835,68.3671,6.0831,25.6215,4094917.713,-214097.4901,0.7954,42.0,47.2,47.2,47.5,49.8,50.5,47.4,4.3
country,India,13,37.7,0.511,3083856.2438,0.4214,1321680.523,1601001.9705,0.3784,61.4268,5.9362,25.1497,2922682.4935,-161173.7503,0.7938,37.7,41.0,38.7,32.1,35.7,38.4,45.0,33.3
country,UAE,14,27.5,0.5036,3723832.4644,0.41,1597924.0366,1985692.563,0.3676,54.4387,5.7955,24.7022,3583616.5996,-140215.8648,0.7903,27.5,21.5,20.6,16.6,22.2,27.0,39.8,44.8
country,Brazil,15,0.1,0.4874,2634353.1043,0.3974,1083809.6447,1329623.13,0.3552,46.9609,5.5652,23.6473,2413432.7747,-220920.3296,0.7634,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6
